schoolId,Grade,Student ID,Adjusted WCPM Score,PA PR,SR PR,Vocabulary PR,Decoding PR,classId,ARM,ARM PR,Estimated Mastery PR
f5994b0033f68d89,First Grade,01cced8118f5e79c,,,,,,bf5a0c515982aa5e,0.54,22.0,52.0
f5994b0033f68d89,Second Grade,0800921f9cfe2666,137.63415969334815,86.0,97.0,99.0,88.0,3ca5a3716b101fbf,4.94,99.0,99.0
f5994b0033f68d89,Second Grade,f4c49718aaf9fa2c,102.98784987110491,76.0,85.0,91.0,76.0,47d60a2a897b70af,4.77,99.0,99.0
0247793b43a88d72,First Grade,bf3edff3836919c1,74.58786640695519,96.0,91.0,94.0,95.0,56c0bf39e1921dc6,2.13,94.0,93.0
0247793b43a88d72,Third Grade,62a6f44ee3ea0d52,129.72337791246383,43.0,88.0,91.0,42.0,895c3962c4778b63,4.7579143140742035,96.0,87.0
fcd2b7c1d0b60e35,First Grade,e0291a7547171e65,25.694200520620317,50.0,40.0,42.0,50.0,d853d427187fc300,1.21,54.0,71.0
0247793b43a88d72,Third Grade,a86f8825f1d8e46d,66.03005147224485,39.0,38.0,42.0,40.0,d114c2bc32b36017,3.15,51.0,55.0
8e2faf066a9869ed,Second Grade,a5443155324d67cb,100.96254970502508,79.0,61.0,65.0,78.0,ef9a922ec78ffea9,2.99,84.0,88.0
8e2faf066a9869ed,Second Grade,fcb5af0df65fa931,128.45811568968853,90.0,71.0,78.0,90.0,ef9a922ec78ffea9,3.99,98.0,91.0
175f1c4216f882dc,First Grade,3f3da347680bf6ed,109.98080585200027,88.0,91.0,93.0,87.0,c2f8542f927042fd,3.8,99.0,99.0
fcd2b7c1d0b60e35,First Grade,1cb5da20643d5499,,,,,,0de52861c68073a8,0.12,1.0,33.0
175f1c4216f882dc,Third Grade,09df0bf32a52c027,28.84404072961688,24.0,14.0,16.0,23.0,5ab801215c4306db,2.1915781993993115,22.0,36.0
