schoolId,Grade,Student ID,Adjusted WCPM Score,PA PR,SR PR,Vocabulary PR,Decoding PR,classId,ARM,ARM PR,Estimated Mastery PR
0552fc363beed545,Fourth Grade,122117da048fb5d4,,,,,,f945114bb43d6b2e,0.7,1.0,1.0
0552fc363beed545,Second Grade,4cdaedce830895b8,87.56514880882247,65.0,55.0,55.0,65.0,2ec0d50bd378dde7,2.82,66.0,64.0
0552fc363beed545,Fifth Grade,30c8bf67ca9c5f32,14.89985577703703,2.0,1.0,2.0,3.0,c03c7e0889955448,1.16,2.0,7.0
0552fc363beed545,Third Grade,1b5fdecdc3ad095b,89.45949992513849,88.0,87.0,85.0,94.0,40702832ec3dbd55,3.96,68.0,51.0
0552fc363beed545,Third Grade,ca89512a8bbf777e,46.62149561757941,17.0,18.0,19.0,16.0,ff48aa777baa9650,2.98,31.0,37.0
3a4e8bb320070245,Fourth Grade,4f82111fb42fc777,65.45454545454545,32.0,33.0,35.0,33.0,80153bb3c4487a93,3.56,29.0,27.0
3a4e8bb320070245,First Grade,8275be8043b7d8ac,43.03927497620303,58.0,41.0,44.0,53.0,ee9fc7c526686cfb,1.72,60.0,59.0
0552fc363beed545,First Grade,21bdd96da5008fa3,83.80890052356021,52.0,46.0,49.0,51.0,f179596a9be56935,2.08,82.0,68.0
3a4e8bb320070245,Third Grade,0327652a39aca183,42.78773246497721,37.0,40.0,41.0,41.0,4d7331607659d3b0,2.54,20.0,35.0
3a4e8bb320070245,Second Grade,649bdd10a027177d,10.31190550975779,11.0,9.0,12.0,13.0,15670bc720a356c7,0.95,12.0,12.0
e17e80352e477fde,Third Grade,a7a7e319ba3861cf,112.8365726092852,63.0,78.0,75.0,65.0,62d599f13a1ec1f1,4.48,87.0,79.0
e17e80352e477fde,Fifth Grade,4d5860429a8cf880,144.55952244324473,69.0,98.0,96.0,88.0,25383d24652ff884,6.97,96.0,83.0
a8853a51a83b90a3,Third Grade,8a33bffd2bab4fec,126.2186981674016,38.0,48.0,49.0,37.0,7aae1596b9837d41,4.77,93.0,84.0
e17e80352e477fde,Fourth Grade,2bed1a2e583902bf,32.42060329339295,7.0,7.0,7.0,7.0,efaeca0f2dc2ba47,2.35,10.0,16.0
e17e80352e477fde,Third Grade,daba648bbb79b4ba,89.86278214179178,96.0,89.0,87.0,96.0,62d599f13a1ec1f1,3.89,65.0,74.0
631e1d03d39aba59,Fourth Grade,4bc4be8452102ced,37.7144678364644,16.0,20.0,23.0,21.0,8092f594cff6dbd6,2.84,15.0,40.0
631e1d03d39aba59,First Grade,34038c78eb1178ca,108.0198740737568,93.0,88.0,92.0,90.0,bce93805de2cfc2e,2.59,98.0,57.0
67ab0b89b2ecc311,Second Grade,1d3966e228c68aa7,159.31278202076547,65.0,72.0,75.0,69.0,6d9f6bf160144b97,4.26,98.0,83.0
67ab0b89b2ecc311,Second Grade,9133a3803c89a2e0,138.0621048587097,99.0,90.0,93.0,99.0,ad37789206d535d5,3.68,90.0,89.0
67ab0b89b2ecc311,Second Grade,5b5e50e8dd6e6694,163.04771095279992,97.0,95.0,97.0,96.0,ad37789206d535d5,4.29,98.0,84.0
f58299c1e646ef39,Third Grade,41153bd4fa954e72,86.27339656757775,70.0,77.0,75.0,68.0,b042a2c8d5a6c4a7,3.82,61.0,70.0
f6b6d94c9bccf23f,First Grade,de04804f7dde950b,92.1025684424322,96.0,84.0,88.0,95.0,210c2485cf3d3621,2.36,94.0,78.0
f6b6d94c9bccf23f,Third Grade,dbc8bdebb1de92cf,120.24648033728889,97.0,95.0,95.0,96.0,e9bf75f9857bfd10,4.21,78.0,83.0
f6b6d94c9bccf23f,Third Grade,fcd128746a532fd5,85.65417751953517,50.0,64.0,63.0,52.0,75e83a1676f5e573,3.59,53.0,56.0
f6b6d94c9bccf23f,Third Grade,c836479aeef07c3a,129.51001236893376,94.0,99.0,99.0,95.0,e9bf75f9857bfd10,5.43,99.0,91.0
0247793b43a88d72,First Grade,d4e1b2ba089b4f48,105.5261808560822,91.0,85.0,89.0,87.0,0deace3ba6d3ec0f,2.55,98.0,86.0
c8e46a9192a13ea8,First Grade,314d25da1d116baa,42.52577319587629,62.0,55.0,58.0,58.0,170dd1ff5a52573e,1.79,64.0,63.0
0247793b43a88d72,Third Grade,04f6400b951056cc,113.917496116449,24.0,43.0,44.0,22.0,895c3962c4778b63,4.48,87.0,66.0
c8e46a9192a13ea8,Third Grade,49c3eea48190fd50,106.5531732484174,58.0,83.0,80.0,63.0,8cf67de6241f0bca,4.21,78.0,71.0
91aa0bc37be2907b,Kindergarten,d4be285752882a6e,,,,,,1604705d6b8846d1,0.61,61.0,61.0
91aa0bc37be2907b,First Grade,d9f779ef934c8e72,108.85597926693818,93.0,88.0,92.0,93.0,f96e19f1fff53450,2.6,99.0,74.0
8e2faf066a9869ed,First Grade,6d1add565a6e1792,121.20376662459957,91.0,90.0,93.0,90.0,a115372893fbde81,2.6,99.0,78.0
91aa0bc37be2907b,Second Grade,38dd37f664e18a7c,,,,,,a5867d29d48a2887,0.74,8.0,18.0
8e2faf066a9869ed,Second Grade,2529128fe77bdadf,23.090529148625237,22.0,21.0,20.0,22.0,905bdb43bdd72733,1.56,22.0,30.0
8e2faf066a9869ed,First Grade,ba601d95aa7895c8,109.324400893244,88.0,78.0,82.0,84.0,3d37e4281fea13b8,2.53,97.0,83.0
033b71112d415f78,First Grade,71a287d2c2c4887c,103.01373853099663,69.0,60.0,63.0,66.0,dece74fecbe9da31,2.23,90.0,86.0
8e2faf066a9869ed,First Grade,0b587e564318480e,110.7110988941281,97.0,92.0,94.0,96.0,3d37e4281fea13b8,2.58,98.0,73.0
033b71112d415f78,Second Grade,7afd930558e1f559,111.40818337096502,95.0,80.0,84.0,95.0,b067c659c794dcd9,3.67,90.0,79.0
175f1c4216f882dc,Second Grade,0cb78bbd76defe99,34.558364251216844,22.0,22.0,20.0,22.0,e71201b907b644b4,1.87,27.0,44.0
033b71112d415f78,First Grade,2f4cbbdc982e965d,59.58125779122696,85.0,70.0,74.0,86.0,51c0fa055caf2240,2.14,85.0,63.0
175f1c4216f882dc,Third Grade,f0df9293ec018b2a,111.62396382818386,84.0,89.0,87.0,89.0,37a0c0034b42e9bf,4.08,73.0,86.0
175f1c4216f882dc,Second Grade,de97b2d31fae6f56,112.09224671426614,70.0,70.0,73.0,68.0,899ac44b8be05b64,3.4,84.0,79.0
c2ca85b6f03f9a01,Second Grade,16b1507afb513249,,,,,,fe0254431aab59cd,0.38,1.0,11.0
175f1c4216f882dc,Third Grade,d5d91b5c86626b2e,99.62581852198316,38.0,46.0,47.0,38.0,37a0c0034b42e9bf,3.89,65.0,52.0
c2ca85b6f03f9a01,Third Grade,627720b5b0e903b3,66.69126066605023,57.0,69.0,68.0,63.0,c9cb0d5f35a311f8,3.43,47.0,50.0
